customer_id,first_name,last_name,email,active,create_date,amount,payment_date,film_id,title,rental_duration,replacement_cost,rating,store_id,rental_date,return_date
416,Jeffery,Pinson,jeffery.pinson@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 21:21:59.996577,356,Giant Troopers,5,10.99,R,2,2005-06-14 22:53:33,2005-06-18 21:37:33
516,Elmer,Noe,elmer.noe@sakilacustomer.org,1,2006-02-14,4.99,2007-02-14 21:23:39.996577,961,Wash Heavenly,7,22.99,R,1,2005-06-14 22:55:13,2005-06-17 02:11:13
239,Minnie,Romero,minnie.romero@sakilacustomer.org,1,2006-02-14,4.99,2007-02-14 21:29:00.996577,614,Name Detective,5,11.99,PG-13,1,2005-06-14 23:00:34,2005-06-18 01:58:34
592,Terrance,Roush,terrance.roush@sakilacustomer.org,0,2006-02-14,6.99,2007-02-14 21:41:12.996577,915,Truman Crazy,7,9.99,G,1,2005-06-14 23:12:46,2005-06-23 21:53:46
49,Joyce,Edwards,joyce.edwards@sakilacustomer.org,1,2006-02-14,0.99,2007-02-14 21:44:52.996577,807,Sleuth Orient,4,25.99,NC-17,1,2005-06-14 23:16:26,2005-06-16 21:00:26
264,Gwendolyn,May,gwendolyn.may@sakilacustomer.org,1,2006-02-14,3.99,2007-02-14 21:44:53.996577,625,None Spiking,3,18.99,NC-17,2,2005-06-14 23:16:27,2005-06-20 02:40:27
46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,1,2006-02-14,4.99,2007-02-14 21:45:29.996577,551,Maiden Home,3,9.99,PG,2,2005-06-14 23:17:03,2005-06-15 20:43:03
481,Herman,Devore,herman.devore@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:03:35.996577,952,Wagon Jaws,7,17.99,PG,1,2005-06-14 23:35:09,2005-06-19 03:20:09
139,Amber,Dixon,amber.dixon@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:11:22.996577,236,Divine Resurrection,4,19.99,R,2,2005-06-14 23:42:56,2005-06-16 04:02:56
595,Terrence,Gunderson,terrence.gunderson@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:16:01.996577,533,Lost Bird,4,21.99,PG-13,1,2005-06-14 23:47:35,2005-06-17 05:28:35
191,Jeanette,Greene,jeanette.greene@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:23:12.996577,234,Disturbing Scarface,6,27.99,R,1,2005-06-14 23:54:46,2005-06-19 23:26:46
95,Paula,Bryant,paula.bryant@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:41:17.996577,581,Minority Kiss,4,16.99,G,1,2005-06-15 00:12:51,2005-06-21 02:10:51
197,Sue,Peters,sue.peters@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 22:43:41.996577,716,Reap Unfaithful,6,26.99,PG-13,2,2005-06-15 00:15:15,2005-06-20 19:23:15
512,Cecil,Vines,cecil.vines@sakilacustomer.org,1,2006-02-14,6.99,2007-02-14 22:57:03.996577,596,Moonshine Cabin,4,25.99,PG-13,1,2005-06-15 00:28:37,2005-06-21 21:42:37
210,Ella,Oliver,ella.oliver@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 23:01:30.996577,413,Hedwig Alter,7,16.99,NC-17,1,2005-06-15 00:33:04,2005-06-16 03:47:04
119,Sherry,Marshall,sherry.marshall@sakilacustomer.org,1,2006-02-14,7.99,2007-02-14 23:05:16.996577,177,Connecticut Tramp,4,20.99,R,2,2005-06-15 00:36:50,2005-06-22 22:09:50
432,Edwin,Burk,edwin.burk@sakilacustomer.org,1,2006-02-14,5.99,2007-02-14 23:07:27.996577,686,Pluto Oleander,5,9.99,R,1,2005-06-15 00:39:01,2005-06-21 22:44:01
546,Kelly,Knott,kelly.knott@sakilacustomer.org,1,2006-02-14,1.99,2007-02-14 23:10:43.996577,651,Packer Madigan,3,20.99,PG-13,2,2005-06-15 00:42:17,2005-06-19 03:36:17
196,Alma,Austin,alma.austin@sakilacustomer.org,1,2006-02-14,5.99,2007-02-14 23:13:47.996577,236,Divine Resurrection,4,19.99,R,2,2005-06-15 00:45:21,2005-06-22 03:52:21
1,Mary,Smith,mary.smith@sakilacustomer.org,1,2006-02-14,5.99,2007-02-14 23:22:38.996577,611,Musketeers Wait,7,17.99,PG,1,2005-06-15 00:54:12,2005-06-23 02:42:12
368,Harry,Arce,harry.arce@sakilacustomer.org,0,2006-02-14,0.99,2007-02-14 23:25:11.996577,341,Frost Head,5,13.99,PG,2,2005-06-15 00:56:45,2005-06-16 02:23:45
173,Audrey,Ray,audrey.ray@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 23:32:33.996577,55,Barbarella Streetcar,6,27.99,G,2,2005-06-15 01:04:07,2005-06-19 03:48:07
244,Viola,Hanson,viola.hanson@sakilacustomer.org,1,2006-02-14,6.99,2007-02-14 23:32:48.996577,29,Antitrust Tomatoes,5,11.99,NC-17,1,2005-06-15 01:04:22,2005-06-24 06:48:22
370,Wayne,Truong,wayne.truong@sakilacustomer.org,1,2006-02-14,6.99,2007-02-14 23:33:58.996577,563,Massacre Usual,6,16.99,R,1,2005-06-15 01:05:32,2005-06-23 02:34:32
186,Holly,Fox,holly.fox@sakilacustomer.org,1,2006-02-14,4.99,2007-02-14 23:47:05.996577,898,Tourist Pelican,4,18.99,PG-13,1,2005-06-15 01:18:39,2005-06-19 22:46:39
561,Ian,Still,ian.still@sakilacustomer.org,1,2006-02-14,2.99,2007-02-14 23:52:46.996577,983,Won Dares,7,18.99,PG,1,2005-06-15 01:24:20,2005-06-21 02:29:20
402,Luis,Yanez,luis.yanez@sakilacustomer.org,1,2006-02-14,4.99,2007-02-14 23:53:34.996577,826,Speed Suit,7,19.99,PG-13,2,2005-06-15 01:25:08,2005-06-21 01:16:08
84,Sara,Perry,sara.perry@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 00:06:04.996577,491,Jumping Wrath,4,18.99,NC-17,2,2005-06-15 01:37:38,2005-06-17 21:50:38
52,Julie,Sanchez,julie.sanchez@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 00:06:57.996577,222,Desert Poseidon,4,27.99,R,1,2005-06-15 01:38:31,2005-06-18 06:55:31
349,Joe,Gilliland,joe.gilliland@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 00:11:12.996577,835,Spy Mile,6,13.99,PG-13,1,2005-06-15 01:42:46,2005-06-20 00:22:46
491,Rick,Mattox,rick.mattox@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 00:17:24.996577,252,Dream Pickup,6,18.99,PG,1,2005-06-15 01:48:58,2005-06-20 01:07:58
238,Nellie,Garrett,nellie.garrett@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 00:27:16.996577,57,Basic Easy,4,18.99,PG-13,1,2005-06-15 01:58:50,2005-06-16 20:30:50
516,Elmer,Noe,elmer.noe@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 00:28:17.996577,732,Rings Heartbreakers,5,17.99,G,1,2005-06-15 01:59:51,2005-06-21 21:33:51
209,Tonya,Chapman,tonya.chapman@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 00:34:54.996577,588,Model Fish,4,11.99,NC-17,2,2005-06-15 02:06:28,2005-06-16 21:38:28
451,Jim,Rea,jim.rea@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 00:36:30.996577,619,Neighbors Charade,3,20.99,R,2,2005-06-15 02:08:04,2005-06-16 21:56:04
452,Tom,Milner,tom.milner@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 00:37:28.996577,481,Jekyll Frogmen,4,22.99,PG,1,2005-06-15 02:09:02,2005-06-21 00:04:02
249,Dora,Medina,dora.medina@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 00:50:12.996577,535,Love Suicides,6,21.99,R,1,2005-06-15 02:21:46,2005-06-20 07:14:46
264,Gwendolyn,May,gwendolyn.may@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 00:55:33.996577,244,Dorado Notting,5,26.99,NC-17,1,2005-06-15 02:27:07,2005-06-18 22:46:07
430,Ray,Houle,ray.houle@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 00:55:34.996577,492,Jungle Closer,6,11.99,NC-17,1,2005-06-15 02:27:08,2005-06-19 08:18:08
376,Randy,Gaither,randy.gaither@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 00:58:29.996577,164,Coast Rainbow,4,20.99,PG,2,2005-06-15 02:30:03,2005-06-18 00:04:03
146,Jamie,Rice,jamie.rice@sakilacustomer.org,1,2006-02-14,7.99,2007-02-15 00:59:38.996577,327,Fool Mockingbird,3,24.99,PG,1,2005-06-15 02:31:12,2005-06-21 07:39:12
345,Carl,Artis,carl.artis@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 01:26:17.996577,1,Academy Dinosaur,6,20.99,PG,2,2005-06-15 02:57:51,2005-06-20 01:41:51
122,Thelma,Murray,thelma.murray@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 01:29:46.996577,738,Rocketeer Mother,3,27.99,PG-13,1,2005-06-15 03:01:20,2005-06-18 07:52:20
371,Billy,Poulin,billy.poulin@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 01:31:59.996577,789,Shock Cabin,7,15.99,PG-13,1,2005-06-15 03:03:33,2005-06-17 06:31:33
94,Norma,Gonzales,norma.gonzales@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 01:42:31.996577,700,Prix Undefeated,4,13.99,R,2,2005-06-15 03:14:05,2005-06-15 21:41:05
46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 01:47:06.996577,979,Witches Panic,6,10.99,NC-17,2,2005-06-15 03:18:40,2005-06-20 07:32:40
102,Crystal,Ford,crystal.ford@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 01:49:26.996577,55,Barbarella Streetcar,6,27.99,G,1,2005-06-15 03:21:00,2005-06-19 03:39:00
100,Robin,Hayes,robin.hayes@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 01:52:14.996577,865,Sunrise League,3,19.99,PG-13,2,2005-06-15 03:23:48,2005-06-18 03:35:48
203,Tara,Ryan,tara.ryan@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 01:52:40.996577,131,Center Dinosaur,5,12.99,PG,1,2005-06-15 03:24:14,2005-06-18 22:37:14
371,Billy,Poulin,billy.poulin@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 01:53:10.996577,54,Banger Pinocchio,5,15.99,R,1,2005-06-15 03:24:44,2005-06-21 22:45:44
403,Mike,Way,mike.way@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 02:03:42.996577,460,Innocent Usual,3,26.99,PG-13,2,2005-06-15 03:35:16,2005-06-18 03:11:16
168,Regina,Berry,regina.berry@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 02:07:15.996577,614,Name Detective,5,11.99,PG-13,2,2005-06-15 03:38:49,2005-06-17 22:30:49
50,Diane,Collins,diane.collins@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 02:07:19.996577,286,Enough Raging,7,16.99,NC-17,2,2005-06-15 03:38:53,2005-06-20 01:00:53
369,Fred,Wheat,fred.wheat@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 02:12:51.996577,345,Gables Metropolis,3,17.99,PG,1,2005-06-15 03:44:25,2005-06-17 03:49:25
434,Eddie,Tomlin,eddie.tomlin@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 02:14:01.996577,418,Hobbit Alien,5,27.99,PG-13,2,2005-06-15 03:45:35,2005-06-19 02:03:35
409,Rodney,Moeller,rodney.moeller@sakilacustomer.org,1,2006-02-14,5.99,2007-02-15 02:14:36.996577,496,Kick Savannah,3,10.99,PG-13,2,2005-06-15 03:46:10,2005-06-23 02:00:10
428,Herbert,Kruger,herbert.kruger@sakilacustomer.org,1,2006-02-14,3.99,2007-02-15 02:18:29.996577,142,Chicken Hellfighters,3,24.99,PG,1,2005-06-15 03:50:03,2005-06-21 23:48:03
398,Antonio,Meek,antonio.meek@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 02:19:02.996577,977,Window Side,3,25.99,R,2,2005-06-15 03:50:36,2005-06-17 22:41:36
468,Tim,Cary,tim.cary@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 02:21:39.996577,463,Instinct Airport,4,21.99,PG,1,2005-06-15 03:53:13,2005-06-18 04:09:13
447,Clifford,Bowens,clifford.bowens@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 02:32:35.996577,504,Kwai Homeward,5,25.99,PG-13,2,2005-06-15 04:04:09,2005-06-16 02:21:09
391,Clarence,Gamez,clarence.gamez@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 02:46:36.996577,602,Mourning Purple,5,14.99,PG,1,2005-06-15 04:18:10,2005-06-17 06:02:10
550,Guy,Brownlee,guy.brownlee@sakilacustomer.org,1,2006-02-14,6.99,2007-02-15 02:47:03.996577,916,Turn Star,3,10.99,G,1,2005-06-15 04:18:37,2005-06-22 03:36:37
529,Erik,Guillen,erik.guillen@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 02:50:18.996577,155,Cleopatra Devil,6,26.99,PG-13,1,2005-06-15 04:21:52,2005-06-22 03:25:52
255,Irma,Pearson,irma.pearson@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 02:59:54.996577,223,Desire Alien,7,24.99,NC-17,2,2005-06-15 04:31:28,2005-06-22 10:08:28
66,Janice,Ward,janice.ward@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 03:02:53.996577,698,Princess Giant,3,29.99,NC-17,1,2005-06-15 04:34:27,2005-06-18 08:15:27
49,Joyce,Edwards,joyce.edwards@sakilacustomer.org,1,2006-02-14,9.99,2007-02-15 03:12:36.996577,715,Range Moonwalker,3,25.99,PG,1,2005-06-15 04:44:10,2005-06-23 07:00:10
205,Eileen,Carr,eileen.carr@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 03:17:34.996577,773,Seabiscuit Punk,6,28.99,NC-17,1,2005-06-15 04:49:08,2005-06-20 00:06:08
444,Marcus,Hidalgo,marcus.hidalgo@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 03:21:27.996577,816,Snowman Rollercoaster,3,27.99,G,1,2005-06-15 04:53:01,2005-06-16 07:03:01
28,Cynthia,Young,cynthia.young@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 03:26:33.996577,841,Star Operation,5,9.99,PG,2,2005-06-15 04:58:07,2005-06-17 23:56:07
62,Joan,Cooper,joan.cooper@sakilacustomer.org,1,2006-02-14,6.99,2007-02-15 03:28:09.996577,956,Wanda Chamber,7,23.99,PG-13,1,2005-06-15 04:59:43,2005-06-24 03:32:43
141,Debbie,Reyes,debbie.reyes@sakilacustomer.org,1,2006-02-14,7.99,2007-02-15 03:33:33.996577,179,Conquerer Nuts,4,14.99,G,1,2005-06-15 05:05:07,2005-06-22 04:57:07
107,Florence,Woods,florence.woods@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 03:35:58.996577,576,Mighty Luck,7,13.99,PG,2,2005-06-15 05:07:32,2005-06-21 08:17:32
515,Andre,Rapp,andre.rapp@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 03:37:06.996577,229,Devil Desire,6,12.99,R,2,2005-06-15 05:08:40,2005-06-20 10:41:40
234,Claudia,Fuller,claudia.fuller@sakilacustomer.org,1,2006-02-14,3.99,2007-02-15 03:37:27.996577,290,Everyone Craft,4,29.99,PG,1,2005-06-15 05:09:01,2005-06-22 06:55:01
357,Keith,Rico,keith.rico@sakilacustomer.org,1,2006-02-14,5.99,2007-02-15 03:39:45.996577,95,Breakfast Goldfinger,5,18.99,G,2,2005-06-15 05:11:19,2005-06-21 02:21:19
544,Cody,Nolen,cody.nolen@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 04:02:18.996577,848,Stone Fire,3,19.99,G,1,2005-06-15 05:33:52,2005-06-19 06:56:52
403,Mike,Way,mike.way@sakilacustomer.org,1,2006-02-14,8.99,2007-02-15 04:06:35.996577,460,Innocent Usual,3,26.99,PG-13,1,2005-06-15 05:38:09,2005-06-22 10:29:09
38,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 04:24:06.996577,951,Voyage Legally,6,28.99,PG-13,1,2005-06-15 05:55:40,2005-06-23 03:11:40
442,Leroy,Bustamante,leroy.bustamante@sakilacustomer.org,1,2006-02-14,5.99,2007-02-15 04:27:21.996577,728,Reunion Witches,3,26.99,R,1,2005-06-15 05:58:55,2005-06-23 02:45:55
89,Julia,Flores,julia.flores@sakilacustomer.org,1,2006-02-14,8.99,2007-02-15 04:33:44.996577,253,Drifter Commandments,5,18.99,PG-13,2,2005-06-15 06:05:18,2005-06-24 07:40:18
498,Gene,Sanborn,gene.sanborn@sakilacustomer.org,1,2006-02-14,6.99,2007-02-15 04:34:59.996577,711,Raging Airplane,4,18.99,R,2,2005-06-15 06:06:33,2005-06-21 04:13:33
571,Johnnie,Chisholm,johnnie.chisholm@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 04:39:42.996577,869,Suspects Quills,4,22.99,PG,1,2005-06-15 06:11:16,2005-06-21 06:40:16
526,Karl,Seal,karl.seal@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 04:42:11.996577,313,Fidelity Devil,5,11.99,G,2,2005-06-15 06:13:45,2005-06-16 03:59:45
470,Gordon,Allard,gordon.allard@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 04:42:23.996577,314,Fight Jawbreaker,3,13.99,R,2,2005-06-15 06:13:57,2005-06-16 06:54:57
267,Margie,Wade,margie.wade@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 04:44:02.996577,421,Holiday Games,7,10.99,PG-13,2,2005-06-15 06:15:36,2005-06-21 01:04:36
570,Ivan,Cromwell,ivan.cromwell@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 05:06:21.996577,974,Wild Apollo,4,24.99,R,1,2005-06-15 06:37:55,2005-06-23 04:02:55
586,Kirk,Stclair,kirk.stclair@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 05:10:51.996577,73,Bingo Talented,5,22.99,PG-13,2,2005-06-15 06:42:25,2005-06-16 10:44:25
95,Paula,Bryant,paula.bryant@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 05:21:23.996577,534,Louisiana Harry,5,18.99,PG-13,2,2005-06-15 06:52:57,2005-06-21 01:47:57
236,Marcia,Dean,marcia.dean@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 05:23:19.996577,981,Wolves Desire,7,13.99,NC-17,2,2005-06-15 06:54:53,2005-06-22 08:09:53
540,Tyrone,Asher,tyrone.asher@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 05:25:05.996577,900,Town Ark,6,17.99,R,2,2005-06-15 06:56:39,2005-06-16 11:08:39
439,Alexander,Fennell,alexander.fennell@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 05:28:05.996577,908,Trap Guys,3,11.99,G,1,2005-06-15 06:59:39,2005-06-18 08:10:39
163,Cathy,Spencer,cathy.spencer@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 05:29:16.996577,219,Deep Crusade,6,20.99,PG-13,1,2005-06-15 07:00:50,2005-06-19 12:27:50
96,Diana,Alexander,diana.alexander@sakilacustomer.org,1,2006-02-14,3.99,2007-02-15 05:40:05.996577,482,Jeopardy Encino,3,12.99,R,1,2005-06-15 07:11:39,2005-06-21 02:59:39
509,Raul,Fortier,raul.fortier@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 05:49:47.996577,923,Unfaithful Kill,7,12.99,R,2,2005-06-15 07:21:21,2005-06-17 08:12:21
142,April,Burns,april.burns@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 05:57:56.996577,795,Siege Madre,7,23.99,R,1,2005-06-15 07:29:30,2005-06-23 12:36:30
59,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 05:58:25.996577,22,Amistad Midsummer,6,10.99,G,1,2005-06-15 07:29:59,2005-06-16 13:26:59
395,Johnny,Turpin,johnny.turpin@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 05:58:48.996577,12,Alaska Phantom,6,22.99,PG,1,2005-06-15 07:30:22,2005-06-18 11:31:22
560,Jordan,Archuleta,jordan.archuleta@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 06:00:50.996577,84,Boiled Dares,7,13.99,PG,1,2005-06-15 07:32:24,2005-06-21 05:12:24
135,Juanita,Mason,juanita.mason@sakilacustomer.org,1,2006-02-14,0.99,2007-02-15 06:11:24.996577,687,Pocus Pulp,6,15.99,NC-17,2,2005-06-15 07:42:58,2005-06-18 12:00:58
530,Darryl,Ashcraft,darryl.ashcraft@sakilacustomer.org,1,2006-02-14,1.99,2007-02-15 06:21:01.996577,79,Blade Polish,5,10.99,PG-13,2,2005-06-15 07:52:35,2005-06-21 04:55:35
430,Ray,Houle,ray.houle@sakilacustomer.org,1,2006-02-14,2.99,2007-02-15 06:21:18.996577,608,Murder Antitrust,6,11.99,PG,1,2005-06-15 07:52:52,2005-06-20 10:01:52
214,Kristin,Johnston,kristin.johnston@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 06:24:09.996577,212,Darn Forrester,7,14.99,G,1,2005-06-15 07:55:43,2005-06-20 06:30:43
388,Craig,Morrell,craig.morrell@sakilacustomer.org,1,2006-02-14,6.99,2007-02-15 06:28:39.996577,330,Forrester Comancheros,7,22.99,NC-17,1,2005-06-15 08:00:13,2005-06-24 02:55:13
464,Jerome,Kenyon,jerome.kenyon@sakilacustomer.org,1,2006-02-14,4.99,2007-02-15 06:29:55.996577,15,Alien Center,5,10.99,NC-17,2,2005-06-15 08:01:29,2005-06-22 07:16:29
